"Year","PC_Name","PC_No","PC_Type","AC_Name","AC_No","AC_Type","CandID","Cand","Party","Votes_In_AC","State_Name"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",3,"KOLAVENTI SUNDARA RAO","BSP",1865,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",2,"DR.M.V.V.S.MURTHY","TDP",40125,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",10,"APPARAO GUDIVADA","IND",186,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",7,"VAMSI KIRAN.B","PPOI",315,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",9,"MAMIDI SOMUNAIDU","RJD",191,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Uttarapalli",27,"GEN",8,"S.V.B.REDDY","IND",219,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",1,"JANARDHANA REDDY NEDURU","INC",54393,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",5,"MANDEM SUBHASH CHANDRA","SP",1113,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",7,"VAMSI KIRAN.B","PPOI",500,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",8,"S.V.B.REDDY","IND",496,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",4,"BHARANIKANA RAMA RAO","IND",339,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",9,"MAMIDI SOMUNAIDU","RJD",384,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",10,"APPARAO GUDIVADA","IND",331,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",2,"DR.M.V.V.S.MURTHY","TDP",47358,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",6,"SATYANARAYANA MACHIRAJU","IND",1270,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Srungavarapukota",28,"GEN",3,"KOLAVENTI SUNDARA RAO","BSP",4264,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Paderu",29,"GEN",1,"MIDIYAM BABU RAO","CPM",37603,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Paderu",29,"GEN",2,"SMT.KPRK PHANEESWARAMM","TDP",24812,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Paderu",29,"GEN",3,"JANNI APPA RAO","BSP",36367,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Paderu",29,"GEN",4,"KETCHELA RANGA REDDI","IND",4370,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Paderu",29,"GEN",5,"MADAKAM BHEEMA RAJU","MCPI(S)",4628,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Chintapalli",37,"GEN",3,"JANNI APPA RAO","BSP",10682,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Chintapalli",37,"GEN",1,"MIDIYAM BABU RAO","CPM",59976,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Chintapalli",37,"GEN",2,"SMT.KPRK PHANEESWARAMM","TDP",28917,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Chintapalli",37,"GEN",4,"KETCHELA RANGA REDDI","IND",4930,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Chintapalli",37,"GEN",5,"MADAKAM BHEEMA RAJU","MCPI(S)",4021,"Andhara_Pradesh"
2004,"BHADRACHALAM",5,"ST","Yellavaram",38,"GEN",2,"SMT.KPRK PHANEESWARAMM","TDP",40812,"Andhara_Pradesh"
