"State_Name","PC_No","AC_No","PC_Name","PC_Type","AC_Name","AC_Type"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,29,"Karimnagar","GEN","Sircilla","GEN"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,30,"Karimnagar","GEN","Manakondur","SC"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
"Andhara_Pradesh",3,31,"Karimnagar","GEN","Huzurabad","GEN"
